passenger_id,passport_num,full_name,phone
1,12345678,Иванов Иван Иванович,123456789
2,98765431,Петров Петр Петрович,098765431
3,45678923,Сидоров Сидор Сидорович,234578910
4,78912456,Козлов Козьма Козьмич,567892340
5,32164987,Никитин Никита Никитич,876432190
6,65421987,Павлов Павел Павлович,345789120
7,98123654,Федоров Федор Федорович,543217890
8,24567891,Антонов Антон Антонович,012345678
9,67891234,Дмитриев Дмитрий Дмитриевич,890123456
10,45612378,Алексеев Алексей Алексеевич,789012356
11,67891235,Григорьев Григорий Григорьевич,678012345
12,12398754,Егоров Егор Егорович,567890123
13,89012456,Михайлов Михаил Михайлович,457890123
14,91023746,Олегов Олег Олегович,345678912
15,74892829,Петросян Петро Петрович,234678901
16,83377283,Владимиров Владимир Владимирович,123456789
17,12938475,Артемов Артем Артемович,012345678
18,74892839,Сергеев Сергей Сергеевич,801234578
19,29483938,Александров Александр Александрович,890123467
20,94758304,Павленко Павел Павлович,789012345
21,92038459,Семенов Семён Семёнович,678901234
22,83948748,Ильин Илья Ильич,567890123
23,84934930,Валентинов Валентин Валентинович,456789012
24,83783047,Даниилов Даниил Даниилович,345678901
25,12849230,Денисов Денис Денисович,234567890
26,89302948,Васильев Василий Васильевич,123456789
27,84903948,Степанов Степан Степанович,012345678
28,39483949,Игорев Игорь Игоревич,801234567
29,38493043,Максимов Максим Максимович,890234567
30,30394895,Николаев Николай Николаевич,790123456
