pilot_id,flight_time,full_name,phone,aircraft_id
1,500,Иванов Петр,12345689,1
2,700,Петров Иван,98765321,2
3,1000,Сидоров Алексей,11222333,3
4,300,Козлов Дмитрий,99888777,4
5,900,Смирнов Артем,55544333,5
6,800,Кузнецов Сергей,77777777,6
7,600,Попов Александр,88888888,7
8,400,Морозов Владимир,66666666,8
9,200,Новиков Артем,33333333,9
10,100,Волков Илья,22222222,10
11,600,Лебедев Павел,44555666,11
12,500,Соколов Максим,11223344,12
13,700,Исаев Кирилл,66788990,13
14,1000,Егоров Тимофей,12233445,14
15,300,Федоров Никита,98877665,15
16,900,Алексеев Михаил,23344556,16
17,800,Макаров Даниил,34455667,17
18,600,Семенов Егор,45689012,18
19,400,Павлов Арсений,97654321,19
20,200,Григорьев Игорь,34567890,20
21,100,Тарасов Денис,98654321,21
22,500,Устинов Антон,23567890,22
23,700,Дмитриев Глеб,11222333,23
24,1000,Антонов Даниил,44555666,24
25,300,Гусев Максим,77788999,25
26,900,Свиридов Владислав,13456789,26
27,800,Зайцев Виктор,98765421,27
28,600,Комаров Дмитрий,34568901,28
29,400,Белов Федор,21098765,29
30,200,Титов Матвей,32109875,30
